c498-902 stampede tacc utexas edu
Running on sampede.tacc.xsede.org
TACC: Starting up job 7716193
TACC: Setting up parallel environment for MVAPICH2+mpispawn.
TACC: Starting parallel tasks...
LAMMPS (10 Feb 2015)
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 10 10 10
Reading data file ...
  orthogonal box = (-58.1437 -58.1437 -58.1437) to (58.1437 58.1437 58.1437)
  2 by 2 by 4 MPI processor grid
  reading atoms ...
  12288 atoms
Changing box ...
  triclinic box = (-58.1437 -58.1437 -58.1437) to (58.1437 58.1437 58.1437) with tilt (0 0 0)
Reading potential file CH.airebo with DATE: 2011-10-25
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 0 steps, check yes
  master list distance cutoff = 7
Setting up minimization ...
Memory usage per processor = 5.10815 Mbytes
Step Temp PotEng Press Pxx Pyy Pzz Pxy Pxz Pyz Lx Ly Lz Volume 
   30500            0   -92410.143    50.657266    53.320783    83.760052    14.890962 -0.0009832773 0.00098377555 -3.5991135e-06    116.65078    116.64211    116.66173    1587345.4 
   31000            0   -92424.527    23.300299    24.284956    40.207704    5.4082365 -0.00096924308 0.0009700391 -3.7785877e-06     116.6571    116.65256    116.66249    1587583.9 
   31500            0   -92439.058    8.3966778    9.6598652    10.710434    4.8197345 -0.00095526206 0.0009563116 -4.024494e-06    116.66089    116.66059    116.66226    1587741.6 
   32000            0   -92541.827   -6.2533787   -6.7645658   -7.0246422    -4.970928 -0.00066835955 0.00069694215 -4.0606934e-05    116.68231    116.68238     116.6818    1588595.8 
   32500            0   -92640.689    14.336323    14.786012    15.601439    12.621518 -1.4812426e-05 0.0014010182 -0.0016720712    116.68379    116.68356     116.6841    1588663.4 
   33000            0   -92722.038    13.049152    2.7819294    20.693162    15.672364 0.0020420119 0.0025302807 -0.0062314195    116.64654    116.64201    116.64289    1587029.8 
   33500            0    -92778.98    26.261498    29.110341    22.372679    27.301474 0.0028336789 0.0046137557 -0.0070789068    116.54543    116.54723    116.54595    1583049.2 
   34000            0   -92852.161   -10.046138   -27.074397   -4.1005264    1.0365085 -0.006598979 0.0024824229  0.016914768    116.40665    116.40046    116.39914    1577183.6 
   34500            0   -92922.019    -4.546289    2.3656091    3.3018321   -19.306308 -0.032633214 0.0040508657  0.069342802    116.29393    116.29392    116.29965    1572868.8 
   35000            0   -92987.511   -10.982248   -17.575359    1.3397957   -16.711182 -0.036461668 0.0042765074  0.053443927    116.21631    116.21104    116.21604    1569569.6 
   35500            0   -93044.068    24.775221    25.048941     24.48355    24.793171 -0.017252537 -0.00021313212 0.00061206302    116.16139    116.16159    116.16143    1567423.2 
   36000            0    -93111.57    6.7371222    -4.609609    10.054606    14.766369  -0.43078337  -0.36737323   0.38785227    116.11461    116.11042    116.10856      1565389 
   36500            0   -93167.404    16.151509    21.105865    9.0798082    18.268853  -0.54500282     1.062438  -0.91975782    116.04212     116.0457    116.04212      1562645 
   37000            0    -93216.93    1.4795222    21.711173   -3.6274115   -13.645195  -0.50322413   0.13896604 -0.057135758    115.96605    115.97409    115.97752    1559788.4 
   37500            0   -93295.752    48.958214     52.82332    40.549883    53.501438   -0.0185692 -0.021093858 -0.033506424    115.83895    115.84548    115.84254    1554539.5 
   38000            0   -93337.655   -44.858649   -52.344796   -33.390033   -48.841117 -0.026431862 -0.0088977667 -0.042717738    115.79088    115.78296    115.78365    1552266.3 
   38500            0    -93372.29   -6.1544506   -5.1579833   -6.7034273   -6.6019412  -0.01888616  0.018844459 -0.031610358    115.71503    115.71545    115.71451    1549419.3 
   39000            0   -93409.308   -6.6426257   -7.0179618   -6.2751915   -6.6347237 -0.0084338585  0.008567978 -0.0072225677    115.65766    115.65707    115.65756    1547107.9 
   39500            0   -93452.699   -1.6010342   -6.1807615   -5.4946362    6.8722951 0.0041595842 0.0060664055  0.074674459     115.6019    115.60282    115.59606    1544814.8 
   40000            0   -93489.146    16.664964    12.159256    13.404594    24.431042 -0.074791577 -0.0091889256 -0.071387922    115.55184    115.55292    115.54977    1542861.3 
   40500            0   -93515.962   -36.869626   -15.646928   -28.139024   -66.822926 0.0092904794 0.0092779695   0.01199953    115.51666    115.52454    115.53342    1541794.5 
   41000            0   -93543.897   -72.869873   -68.043673   -90.439973   -60.125974  -0.01802137 0.0067860276  0.084027724    115.49277     115.4992    115.49134    1540576.1 
   41500            0   -93570.824    40.426756    27.062567    47.955723    46.261977  -0.01229127 -0.0008856056  0.010158979    115.43574    115.43123    115.43083    1538103.1 
   42000            0   -93598.092   -25.508358   -17.048169   -23.112739   -36.364166   0.74901164 -0.0027027937 0.0082894838    115.40066    115.40262    115.40941    1536969.2 
   42500            0   -93628.261   -4.2060531   -13.264715    7.2432138   -6.5966581   0.13620592 -0.0037882573 0.0043338083    115.35413    115.34846    115.35314    1534879.8 
   43000            0   -93649.398    9.2907536    5.7083173    11.876874    10.287069  0.037916937 0.0036728572 0.0090945677    115.31792    115.31554    115.31608    1533467.2 
   43500            0   -93677.426     -56.8486   -56.744466   -59.169266    -54.63207  -0.22782256 -0.012130221   0.32300207    115.28154     115.2827    115.28067    1532076.4 
   44000            0   -93702.375    -60.68282   -58.089505   -59.937942   -64.021013  0.087659803  -0.78287926  0.038862176    115.24101    115.24164    115.24218      1530481 
   44500            0   -93726.086    5.8833148    4.7091298    5.2520956     7.688719  0.024514907 -0.010705236  0.054474299    115.18618    115.18547     115.1863    1528265.9 
   45000            0   -93746.844    4.0883061    10.214455    31.099937   -29.049474 -0.0068939587 -0.014102012  0.020274204    115.14695    115.13976     115.1608      1526801 
   45500            0   -93770.841  -0.63883122   -4.4669833    6.1704739   -3.6199842 -0.012427806 -0.017680567  0.020973802    115.10429    115.10107    115.10397    1524969.6 
   46000            0   -93791.308    19.126051    5.1444985    17.861942    34.371711 -0.035944364 -0.024727487  0.027195629    115.06074    115.05691    115.05214    1523121.7 
   46500            0   -93811.985   -12.257533   -39.436908     9.795394   -7.1310846 -0.021204178 -0.034173021  0.035582963    115.02978    115.01193    115.01832      1521669 
   47000            0   -93837.004   -3.3066207   -27.944014    7.3284482    10.695703  -0.20833842 -0.050413113  0.048389921    114.97278    114.96083    114.95938    1519460.2 
   47500            0   -93858.524    7.8090311    8.0545874    7.6552605    7.7172454 -0.041312709 -0.070377396  0.065118471    114.91254    114.91288    114.91241    1517410.5 
   48000            0   -93884.881   -3.6782191   -11.660106    -3.370919    3.9963676 -0.053994998  -0.10221269  0.088485824    114.86067    114.85783    114.85488    1515239.9 
   48500            0   -93906.386   -7.1127026   -14.748869   -10.932546    4.3433076 -0.068092835  -0.13355062   0.10951986    114.81306    114.81191    114.80588    1513360.4 
   49000            0   -93930.875   -2.5753718  -0.30090302   -2.5586173    -4.866595 -0.088040389  -0.17393763   0.13349886    114.75416    114.75516    114.75521    1511169.1 
